don,ten,t_vung,t_dam_tu,t_dam_den,t_hoi,sat_thuong,pha_the,tam_voi,goc_quet,lao_toi,huong_ne
bo_cham,Bổ chậm,0.85,0.85,1.00,0.75,34,30,2.4,80,0.0,ngang
vut_ngang,Vụt ngang,0.70,0.70,0.90,0.70,30,34,3.0,200,0.0,lui
nhay_bo,Nhảy bổ,0.95,0.95,1.12,0.90,46,52,2.6,120,5.5,ngang
song_nuoc,Sóng nước,1.30,1.30,1.75,1.10,40,26,7.0,360,0.0,lui
chem_ngang,Chém ngang,0.62,0.62,0.78,0.62,26,22,2.2,150,0.0,ngang
dam_thang,Đâm thẳng,0.55,0.55,0.68,0.72,30,18,3.2,30,2.5,ngang
cau_xe,Cấu xé,0.50,0.50,0.62,0.48,18,12,1.8,90,0.0,lui
lao_toi,Lao tới,0.75,0.75,0.92,0.80,28,30,2.0,60,8.0,ngang
hup_cat,Húp cát,0.90,0.90,1.10,0.85,24,16,2.6,360,0.0,lui
dam_dau,Đâm đầu,0.58,0.58,0.72,0.66,22,20,2.4,45,3.0,ngang
vo_tay,Vỗ tay,0.80,0.80,0.96,0.78,32,28,2.2,110,0.0,ngang
cao_xe,Cào xé,0.54,0.54,0.68,0.52,24,14,2.0,100,0.0,lui
nem_da,Ném đá,0.95,0.95,1.05,0.85,26,10,14.0,0,0.0,ngang
dam_bang,Đấm băng,0.88,0.88,1.06,0.88,42,40,2.6,90,0.0,ngang
vut_gai,Vụt gai,0.72,0.72,0.90,0.72,34,26,3.0,170,0.0,lui
huc_dau,Húc đầu,0.68,0.68,0.84,0.78,30,44,2.2,60,7.0,ngang
liem_doc,Liếm độc,0.82,0.82,1.00,0.70,26,18,2.4,120,0.0,lui
nhay_de,Nhảy đè,1.00,1.00,1.18,0.95,44,50,2.4,150,6.0,ngang
quat_re,Quật rễ,1.10,1.10,1.34,1.00,40,38,4.2,220,0.0,lui
troi_chan,Trói chân,1.25,1.25,1.60,1.05,20,14,6.0,360,0.0,ngang
xe_toac,Xé toạc,0.64,0.64,0.80,0.60,30,24,2.6,130,0.0,lui
nhan_ban,Nhân bản,1.40,1.40,1.50,1.20,0,0,0.0,0,0.0,ngang
chem_doi,Chém đôi,0.92,0.92,1.14,0.92,48,46,3.0,180,0.0,ngang
xoa_ten,Xoá tên,1.50,1.50,1.80,1.30,52,30,5.0,360,0.0,lui
dam_xoay,Đấm xoay,0.86,0.86,1.10,0.86,44,42,3.2,300,0.0,lui
vui_cat,Vùi cát,1.20,1.20,1.55,1.05,38,24,8.0,360,0.0,ngang
bao_cat,Bão cát,1.60,1.60,2.40,1.40,30,20,12.0,360,0.0,lui
cao_moc,Cào mộc,0.66,0.66,0.82,0.62,32,22,2.4,120,0.0,lui
quang_re,Quăng rễ,1.05,1.05,1.28,0.95,38,30,5.0,90,0.0,ngang
goi_con,Gọi con,1.80,1.80,1.90,1.50,0,0,0.0,0,0.0,ngang
re_nguc,Rễ ngực,1.35,1.35,1.70,1.15,56,60,4.0,260,0.0,lui
gai_bang,Gai băng,1.15,1.15,1.44,1.00,46,34,6.0,120,0.0,ngang
bao_tuyet,Bão tuyết,1.90,1.90,2.80,1.50,36,22,14.0,360,0.0,lui
phun_doc,Phun độc,1.10,1.10,1.40,0.95,34,16,9.0,60,0.0,ngang
nuot_chu,Nuốt chữ,1.45,1.45,1.70,1.25,50,44,3.0,150,4.0,lui
trong_khong,Trống không,1.05,1.05,1.30,0.90,44,36,3.6,200,0.0,ngang
xoa_sach,Xoá sạch,2.10,2.10,3.00,1.70,60,50,16.0,360,0.0,lui
khong_ten,Không tên,1.25,1.25,1.48,1.05,54,48,4.0,240,5.0,ngang
