chu,pinyin,pinyin_go,han_viet,nghia,loai,bo_phan,gia_tri,thanh_phan
头盔,tóukuī,toukui,đầu khôi,mũ giáp,giap,dau,2,头|盔
战甲,zhànjiǎ,zhanjia,chiến giáp,áo giáp,giap,than,5,战|甲
手套,shǒutào,shoutao,thủ sáo,găng tay,giap,tay,2,手|套
皮鞋,píxié,pixie,bì hài,giày da,giap,chan,2,皮|鞋
长裤,chángkù,changku,trường khố,quần dài,giap,quan,3,长|裤
宝剑,bǎojiàn,baojian,bảo kiếm,kiếm báu,vukhi,vu_khi,8,宝|剑
弓箭,gōngjiàn,gongjian,cung tiễn,cung tên,vukhi,vu_khi,6,弓|箭
战斧,zhànfǔ,zhanfu,chiến phủ,rìu chiến,vukhi,vu_khi,10,战|斧
药水,yàoshuǐ,yaoshui,dược thủy,thuốc nước,tieu_hao,hoi_mau,40,药|水
红药,hóngyào,hongyao,hồng dược,thuốc đỏ,tieu_hao,hoi_mau,60,红|药
面包,miànbāo,mianbao,diện bao,bánh mì,tieu_hao,hoi_mau,25,面|包
饮料,yǐnliào,yinliao,ẩm liệu,nước tăng lực,tieu_hao,hoi_mau,35,饮|料
苹果,píngguǒ,pingguo,bình quả,quả táo,tieu_hao,hoi_mau,20,苹|果
果汁,guǒzhī,guozhi,quả trấp,nước ép,tieu_hao,hoi_mau,30,果|汁
战刀,zhàndāo,zhandao,chiến đao,đao chiến đấu,vukhi,vu_khi,6,战|刀
铠甲,kǎijiǎ,kaijia,khải giáp,áo giáp nặng,giap,than,7,铠|甲
皮帽,pímào,pimao,bì mạo,mũ da,giap,dau,2,皮|帽
宝冠,bǎoguān,baoguan,bảo quan,vương miện báu,giap,dau,12,宝|冠
